text,funny
 Four Americans in Bahrain have been released: lawyer,0
 Four people detained in connection with Istanbul bombing: Turkish PM,0
 Freed Washington Post journalist Jason Rezaian makes his first media appearance.  ,0
" FTC probes Turing over drug prices, Shkreli's lawyer says:  ",0
 Gaza's way of the ninja.  ,0
 German foreign ministry spokeswoman says ten Germans were killed in Istanbul suicide bombing,0
" Goldman Sachs inks joint Mexico energy, infrastructure deal - source ",0
 Gunmen open fire at entrance to hotel used by foreign tourists in Egyptian city of Hurghada: security sources,0
 Hillary Clinton congratulates Bernie Sanders on stage after losing New Hampshire primary. ,0
 I discovered I scream the same way whether I’m about to be devoured by a great white shark or if a piece of seaweed touches my foot.,1
 Iconic images from the Syrian war.  ,0
 Image captures first look at Islamic State Jakarta gunman.  ,0
 Immigrants arrested in U.S. raids say were misled on right to counsel ,0
" In boost to self-driving cars, U.S. tells Google computers can qualify as drivers  ",0
" In negotiating to free Americans in Iran, U.S. blinked on new sanctions ",0
 Initial analysis of North Korea's reported nuclear test not consistent with claims of successful H-bomb: White House,0
 Investigators believe bomb likely caused explosion on Somalia plane: U.S. government sources. ,0
 Iran's Revolutionary Guard says has released detained U.S. sailors - report,0
 Islamic State officially claims Jakarta attacks: statement,0
 Istanbul suicide bomber entered Turkey as a migrant: Turkish PM,0
 Jakarta police chief says Islamic State ‘definitely’ behind attack. More:  ,0
 Jeb Bush went toe to toe with Trump over his desire to ban all Muslims from the U.S.  ,0
" Justice Department will file lawsuit against Ferguson, Missouri to enforce police reform plan",0
" Justice Scalia was an ""extraordinary individual and jurist, admired and treasured by his colleagues"": Chief Justice Roberts",0
 Killed Oregon protester named as armed group's spokesman:  ,0
 Kim Davis attends President Obama's final State of the Union address.  ,0
 KPMG withdraws audit opinions on CFTC over accounting error - documents  ,0
 Les Moonves is appointed chairman of CBS board after Sumner Redstone resigns,0
 Liberated Washington Post reporter Jason Rezaian says there are ''many people to thank'' for his release. ,0
 Meet Israel's batgirl.  ,0
 Most of those killed in Istanbul blast were German citizens - Turkish officials,0
" My wife used to be a regular customer at McDonalds.

These days, she's more of a large.",1
 New explosions heard in central Jakarta: Kompas TV,0
 New Jersey Governor Chris Christie ending presidential campaign: Senior aide ,0
 New U.S. bill being drafted to reform human trafficking rankings ,0
" No casualties, injuries or evidence of a shooting at Naval Medical Center San Diego - Navy ",0
 North Korea conducts hydrogen nuclear test: North Korea TV,0
" One killed, two injured after crane collapse in lower Manhattan. LIVE coverage: ",0
" One person killed as gunshots resume at Burkina hotel, medical personnel taking wounded away from scene",0
" One U.S. service member killed, two wounded in Afghanistan: report ",0
 Online cattle auction aims to shake up U.S. meat market ,0
 Oscar Pistorius files papers to appeal his murder conviction: family spokesperson,0
 Our images from the scene of the fatal crane collapse in Manhattan this morning.  ,0
 Pentagon to hike spending request to fund Islamic State fight ,0
 Philadelphia Phillies player Ryan Howard sues Al Jazeera America over alleged defamation: court filing,0
 Philadelphia shooter 'does not appear' to be observant Muslim despite citing Islamic State in police attack: Advocacy group,0
 Planned Parenthood files federal lawsuit against people behind video campaign,0
 President Obama intends to nominate successor for Scalia on Supreme Court,0
 President Obama pledges support to Flint mayor over water disaster,0
" Presidential hopefuls Sanders, Clinton in dead heat - Reuters/Ipsos poll  ",0
 Probe into German train crash is focussing on human error by signals controller - source involved in investigation.,0
 Reports of bomb threats at nine schools in New Jersey - NBC,0
" Saudi Arabia says to cut flights, trade with Iran, ban visits:  ",0
" Saudi Arabia to halt flights, trade with Iran - minister ",0
" Saudi Arabia will cut off all commercial ties with Iran, ban its citizens from traveling to Iran: foreign minister",0
" Several dead, wounded after blast in Istanbul - Turkish TV",0
 Sources close to Martin O'Malley reporting that he will suspend his campaign tonight. ,0
 Texas judge says ‘affluenza’ teen Ethan Couch to remain in juvenile detention center,0
 Texas politicians' public comments about man arrested on 'terror' charges may have jeopardized inquiry: law enforcement sources,0
 Thousands of migrants are stranded in Greece.  ,0
 Travel insurer says sales soar on Zika fears  ,0
 Treasury says Andrew Bailey to become new chief executive of Financial Conduct Authority,0
 Turkey's Erdogan says Syrian suicide bomber believed responsible for blast in Istanbul square,0
 Twitter CEO Dorsey announces appointment of Leslie Berland as new CMO,0
" Two cans of paint got married, later the bride whispered, ""Darling, I think I'm pigment.""",1
" U.N. Security Council condemns North Korean nuclear test, will begin work on 'measures' to take",0
 U.S. agrees with Google that a car's driver doesn't have to be human.  ,0
 U.S. considers ending program that lures Cuban doctors to defect  ,0
 U.S. District judge rejects bid for new trial for convicted Boston Marathon bomber Dzhokhar Tsarnaev,0
 U.S. has determined North Koreans conducted some kind of nuclear test: White House,0
 U.S. House of Representatives approves legislation to broaden sanctions against North Korea,0
 U.S. judge rules Martin Shkreli can travel to Washington D.C. to testify to congressional panel on drug pricing,0
 U.S. medevac helicopter responding to wounded U.S. Special forces has gone down in Afghanistan: NBC,0
" U.S., Mexican efforts to battle gun trafficking falter - GAO ",0
 UK PM Cameron's spokesman says UN decision on Julian Assange would not be legally binding.,0
 United Airlines will refund travelers with tickets to Zika-affected areas,0
 Verizon launches auction to sell data centers - sources  ,0
 We are on the ground with Bernie Sanders and he is about to take the stage for his victory speech. ,0
 What are the world's least livable cities?  ,0
" White House says Departments of Homeland Security, Justice to establish task force to counter violent extremism in the U.S.",0
" White House says is working to resolve situation with Navy boats in Iranian custody, wants personnel returned to normal deployment",0
" Zika virus outbreak worse than believed, says Brazil's Health Minister.  ",0
"- Don't be irreplaceable, if you can't be replaced, you can't be promoted.",1
- How can you tell a Polish woman is on her period?  She's only wearing 1 sock,1
- What do you call 2 gay guys named Bob?  Oral Roberts,1
- What do you get when you cross a Mexican with an Oriental?  A car thief who can't drive,1
- What do you get when you cross a Polack and a Mongoloid with one leg? A Polaroid 1 Step,1
- What is better than 4 roses on a piano? Two lips on an organ,1
- What's the difference between chicken and meat?  If you beat your chicken it  would die,1
"- Why did the Italian staple his nuts together?  Since he couldn't lick them, he felt he should join them",1
- Why does an elephant have 4 feet?  Because 8 inches isn't enough,1
"..and the Lord said unto John ""Come forth and receive eternal life"". But he came fifth and won a toaster.",1
'Affluenza' mom expected to be released from jail:  ,0
'Affluenza' mother enters no plea at Texas arraignment ,0
'Affluenza' teen back in Texas after being deported from Mexico ,0
'Affluenza' teen faces Texas hearing on move to adult jail ,0
"'Affluenza' teen left in juvenile detention in Texas, for now:  ",0
"'Affluenza' teen sent back to Texas, 'docile' in detention  ",0
'Affluenza' teen to drop fight against Mexico deportation: source ,0
'Age is just a number'. Nonsense! It's quite clearly a word!,1
"'Brexit' could lead to HSBC moving 1,000 jobs to Paris - Sky",0
"'Brexit' would damage UK, could sink the EU, billionaire Richard Branson says ",0
'Cooler heads must prevail' - Anti-government groups urge calm after Oregon occupier killed:  ,0
'Dear Jean-Claude' - Cameron thanks Juncker for 'creativity' in crafting Britain's EU deal:  ,0
'Dear Jean-Claude': Cameron thanks Juncker for deal 'creativity' ,0
'Hard to accept that these imbeciles represent the people in our government': Shkreli tweets ,0
'Homegrown' terrorist attacks are a top security threat this year: U.S. intelligence chief.  ,0
"'How would you like your eggs?' the waiter asked. ""Sunny-side up, please"" I requested. ""Madam?"" he asked my wife. ""In a big cake,"" she wheezed.",1
'I' before 'e' except after 'c' has been disproved by science.,1
'I'm sorry' and 'I apologise' mean the same thing. Unless you're at a funeral.,1
'Important progress' made on U.N. North Korea resolution: China ,0
"'In' camp leads ahead of Britain's EU referendum, but gap narrows ",0
"'In' camp leads ahead of Britain's EU referendum, but gap narrows - poll:   ",0
'Making a Murderer' shines unwanted spotlight on Wisconsin city ,0
'Midnight Special' film at Berlin takes sci-fi look at parenting  ,0
'National security' related arrest made in Sacramento: official ,0
"'No Bashar al-Assad in the future', says Saudi foreign minister: report  ",0
"'No deal yet' on Britain's EU renegotiation, leaders say  ",0
'No deal yet' says EU's Tusk after meeting with UK's Cameron ,0
'No major alarm signals' - How investors reacted to Yellen:  ,0
'Plane debris' washes up on Malaysian east coast ,0
'Plane wreckage' found in Thailand fuels talk of missing Malaysian jet ,0
'Project Panic' rather than love may keep Britain in EU  ,0
'Radical' candidate in Hong Kong poll exposes underlying tensions ,0
"'Running out of time', EU puts Greece, Schengen on notice ",0
'Selfish' oil firms relish new production despite glut,0
'Silicon Saxony' worries refugee backlash could hurt business ,0
"'Spotlight,' actors of color win big at SAG awards amid diversity furor  ",0
"'Spotlight' takes top Academy Award, #OscarsSoWhite other big winner:  ",0
"'Star Wars' opens at record pace in China, Disney says ",0
'State-of-the-art' subterfuge: how Iran kept flying under sanctions ,0
'The Revenant' and 'The Martian' take top Golden Globes  ,0
'The Revenant' wins big in Britain's BAFTA awards ,0
"'There are some signs of economic softness,' Apple CFO tells Reuters",0
'Turning gold into lead': Hollande squanders post-attack bounce ,0
"'We are not natural-born enemies of Iran,' Saudi U.N. envoy says ",0
'We're not leaving without our weapons' - the latest from the Oregons tandoff :  ,0
"'Yo yo'--a six year old's favorite toy, or two gang members talking? You be the judge.",1
'You saved my life': Paris attack survivors seek solace with Bataclan security man ,0
"""A father is someone who carries pictures where his money used to be.""",1
"""Almost"" Never Killed A Fly (Was Never Hanged)",0
"""And God promised men that good and obedient wives would be found at all corners of the earth. Then he made the world round and laughed..""",1
"""Can I have a pack of condoms?"" I asked the pharmacist. ""A small box?"" he asked. ""I hope so!"" I replied.",1
"""Criminal Lawyer""  is  redundant.",1
"""Dad I don't want a puppy!"" ""Young Man, you'll eat what you're given in this house.""",1
"""Describe yourself in three words."" ""Lazy.""",1
"""Doctor Doctor, I keep thinking I'm a cat."" ""Oh really, how long have you felt like this?""""Ever since I was a kitten.""",1
"""Doctor, doctor, I've lost my memory."" ""When did this happen?"" ""When did what happen?""",1
"""Doctor! Doctor! I snore so loudly, I wake myself up at night.""
""Have you tried sleeping in another room?""",1
"""El Chapo's"" lawyer has a thing or two to say about that interview with Sean Penn:  ",0
"""El Chapo"" tried to trademark his name before he broke out of jail:  ",0
"""El Chapo"" wants to accelerate extradition to U.S. in hope prison treatment will be better:  ",0
"""For a religious leader to question a person's faith is disgraceful,"" Trump says about pope comments. ",0
"""Gun"" appeared only once in prepared SOTU text. Unofficial word count: 5,438 words versus 6,776 last year",0
"""Hamlet"" Without The Prince Of Denmark ",0
"""Haunted House"" By Hugo First",1
"""He made 'Blackstar' for us, his parting gift.""  ",0
"""Hello, can you hear me?"" Adele makes it clear Trump doesn't have permission to play songs:  ",0
"""How do construction workers remember their tasks? They drill them into their head!""",1
"""How To Keep Fit"" By Jim Nastics",1
"""Hurt Myself"" By Amin Payne",1
"""I am so clever that sometimes I don't understand a single word of what I am saying.”",1
"""I bet you can wrap presents with your eyes shut"" I said to my wife. ""I probably could"" she laughed. ""Great I'll just go &amp; get yours"" I said.",1
"""I bet you can wrap presents with your eyes shut"" I said to my wife. ""I probably could"" she laughed. ""Great I'll just go and get yours"" I said.",1
"""I feel depressed, lol""",1
"""I keep telling myself that I am a pathological liar, but I am not sure if I believe it.""",1
"""I Love Maths"" By Adam Up.",1
"""I sold my house this week. I got a pretty good price for it, but it made my landlord mad as heck.""",1
"""I told my doctor I broke my leg in two places. He told me to quit going to those places.""",1
"""If women ruled the world,"" said my wife, ""there'd be no wars."" ""That's true,"" I replied. ""Wars require strategy and logic.""",1
"""If you want to see a comic strip, you should see me in the shower.""",1
"""Inverted sit-ups"" is just a fancy name for lay-downs. I can only do one. But I can hold it for a long time.",1
"""Irish Sniper"" By Rick 'O' Shea",1
"""Keep on Trying"" By Percy Veer",1
"""Knock Knock."" ""Who's there?"" ""It's the police, sir."" ""You'll have to wait, I'm having a shit."" ""We know, sir, the phone booth has glass sides.""",1
"""Last night, I was sitting so long that I had to do some stretches before I used the bathroom."" -Corinna M",1
"""Mom? Don't freak out, but I'm in the hospital."" ""Bob, you've been a doctor for 8 years now, stop starting every call we have with that.""",1
"""Money doesn't buy happiness."" That phrase should end in just kidding.",1
"""My career is in ruins!"" said the archaeologist.",1
"""None of those women have what I'm really looking for"".""Oh yeah? What's that?"".""Low Standards"".",1
"""Nothing is really lost until your mom can't find it.""",1
"""Now, how's he gonna read that magazine all rolled up like that?"" thought the spider.",1
"""One man's trash is another man's treasure"" is a great saying, but a terrible way to tell your kids that they're adopted.",1
"""Plastering for Beginners"" By Phil Mcraken",1
"""President Bush is going to visit the Vatican. He says he's looking forward to meeting the Pope and Mrs. Pope.""",1
"""Socrates died from an overdose of wedlock.""",1
"""Son, I don't think you're cut out to be a mime."" ""Was it something I said?"" Asks the son. ""Yes.""",1
"""Spotlight"" wins Best Picture and other Oscars highlights:  ",0
"""Ted Cruz didn't win Iowa, he stole it"" - Trump calls for another vote after caucuses.  ",0
"""Thank you, Nevada"" -- Clinton  ",0
"""Thanks to the Interstate Highway System, it is now possible to travel from coast to coast without seeing anything.""",1
"""The average person thinks he isn’t.""",1
"""The biggest problem with using the Internet is you never know if it's reliable or not"" -Abraham Lincoln",1
"""The Constant Book Reader"" By Paige Turner",1
"""The doctor removed my left ventricle and atrium,"" Tom said halfheartedly.",1
"""The future we want is in our grasp"": Hillary Clinton  ",0
"""They told me to play safe, so I played with one"" - Thief",1
"""Tits or Arse man?"" I was asked. I really should have got in there earlier when they were giving out super hero names.",1
"""Torture me"" said the masochist. ""No"" the sadist smiled.",1
"""Two Mexicans walk into a bar. One of them goes ""Dios Mio that bar hurt!""",1
"""Vodka! Whiskey! Tequila!"" I call the shots!",1
"""Want to hear a joke about jalapeno poppers? Probably not because it's too queso fresco!""",1
"""We'll get through this storm"": NJ Governor Christie  ",0
"""What a truly inspirational man that Steve Jobs was"" said my mate. ""What is your favourite Apple product?"" he asked. ""Cider, "" I replied.",1
"""What did one lesbian ghost say to the other? I like your booooooobs""",1
"""What did Rick Astley say to his virginity? Never gonna give you up!""",1
"""What did the cat say to the dog. You're purrrrfect!""",1
"""What did the pervert olive say to the sexy olive? I hope you take olive your clothes off!""",1
"""What do cannibals like to eat on St. Patrick's Day? Corn Beef and Cabbage Patch Dolls!""",1
"""What do we want?""
""A cure for obesity!""
""When do we want it?""
""After lunch!""",1
"""What do we want?"" ""A cure for Tourettes"" ""When do we want it?"" ""Cunts!""",1
"""What is Luke Skywalker's favorite coffee place? Java the hut!""",1
"""What's the definition of anxiety?"" 
""The half of the time when you're worried about the other half of the time.""",1
"""When I was a boy the Dead Sea was only sick.""",1
"""Where do you want this big roll of bubble wrap?"" I asked my boss. ""Just pop it in the corner,"" he said. It took me three hours.",1
"""Why did the bread cross the road. Because it was yeasty!""",1
"""Why did the fat guy say to the midget? Don't be short with me or I'll eat you!""",1
"""Wow, nice pair of crocs""
-Said no one, ever.",1
"""You cannot dialogue with the devil,"" Pope Francis warns on Mexico visit. More here:  ",0
"""You haven't listened to a word I've said, have you?"" Always seems like a strange way for my wife to start a conversation with me.",1
"""You know you're getting old when the candles cost more than the cake.""",1
"""You miss 100% of the shots you don't take""...is terrible advice for a recovering alcoholic.",1
"""You're like a coin."" ... 
""Awwww, valuable?"" ... 
""Nope, two faced""",1
"""Your underwear is too tight and very revealing"" I said to my wife. She said ""Wear your own then, dickhead"".",1
"“A bargain is something you cannot use at a price you cannot resist.""",1
“Advice is what we ask for when we already know the answer but wish we didn't.”,1
“David Bowie” collection of Twitter reactions:  “,0
"“Have you got any kittens going cheap?” Asked a customer in a pet shop.
“No, sir,” replied the owner. “All our kittens go “Meow.",1
"“Is your new horse well-behaved Charles?”
“Oh, yes Phil. When we come to a fence, he stops and lets me go over first.”",1
"“Sit by my side, and let the world slip: we shall ne'er be younger” LFW16 gets Shakesperean",0
“The object of war is not to die for your country but to make the other bastard die for his.”,1
“The reason grandchildren and grandparents get along so well is because they have a common enemy.”,1
“These brokers are outside anyone’s control.” A Reuters investigation,0
“They said they’ll hand me over to the Islamic State.,0
“They said they’ll hand me over to the Islamic State.” More ,0
“We had no food and water. We had to drink our own urine.” Understand migrant lives,0
“You will either drown in the sea or die in the desert” – The world of people smuggling,0
“You will either drown in the sea or die in the desert” Enter the world of people smuggling:  ,0
(p + l)(a + n)=pa+pn+la+ln. We just foiled your plan.,1
@breakingviews says the Fed is playing with fire on bank capital. Find out more,0
@doctormoose6 you've left?,1
* “The reason grandchildren and grandparents get along so well is because they have a common enemy.”,1
* A religious war is like children fighting over who has the strongest imaginary friend.,1
"* It might look like I’m doing nothing, but at the cellular level I’m really quite busy.",1
* Why buy shampoo when real poo is still free.,1
#instagram : Made for people who don't want to beg for friends on Facebook.,1
#JeSuisCharlie: One year later.   ,0
#NAME?,1
#OscarsSoWhite quickly revived on Twitter following Oscar nominations:  ,0
"`` A Moment Like This '' was its first single , followed by `` Miss Independent '' , `` Low '' , and `` The Trouble with Love Is ''.",0
`` All We Know '' is the third and final single from Paramore 's first studio album All We Know Is Falling.,0
"`` Book Two : The Education of a Personage '' - After the war , Amory Blaine falls in love with a New York debutante named Rosalind Connage . Because he is poor , however , this relationship collapses as well ; Rosalind decides to marry a wealthy man instead.",0
`` Can't Stop This Thing We Started '' is a song by Bryan Adams.,0
"`` Do not the Unbelievers see that the skies and the earth were joined together , then We clove them asunder and We created every living thing out of the water.",0
`` Fell on Black Days '' was written by frontman Chris Cornell.,0
"`` Friend Like That '' is the first single from Hawk Nelson 's third album , Hawk Nelson Is My Friend.",0
`` Give It Away '' was released as the first single ; it won a Grammy award in 1992 for `` Best Hard Rock Performance With Vocal '' and became the band 's first number one single on the Modern Rock chart.,0
"`` Give me the place to stand , and I shall move the earth . ''",0
`` I had a great time in New York but couldn't wait to get back ''.,0
"`` If Bessie had been old enough , she would have gone with him , '' said Clarence 's widow , Maud.",0
"`` If he had been out there a minute longer , I think somebody would have shot him , '' said one witness.",0
"`` If I Never See Your Face Again '' is a song written by Maroon 5 members Adam Levine and James Valentine for Maroon 5 's second studio album , It Won't Be Soon Before Long.",0
`` Let It Go '' appeared on the Set It Off soundtrack.,0
"`` Little Red Riding Hood '' , also known as `` Little Red Cap '' , is a famous fairy tale about a young girl and a big bad wolf.",0
`` Long '' is used to name Chinese dinosaurs in much the same way that the Latin - saur is in the West.,0
`` Losing Grip '' is the fourth single and last single from Avril Lavigne 's multiplatinum album Let Go.,0
"`` Nothing to Say '' features drop D tuning , which would become a signature of Soundgarden 's sound on later albums.",0
"`` Nothing to Say '' was Soundgarden 's first B-side , released on the `` Hunted Down '' single.",0
"`` One Fish , Two Fish , Blowfish , Blue Fish '' is the eleventh episode of The Simpsons second season.",0
"`` Priest '' , `` Mother 's Day '' , and `` Lullaby '' were originally recorded on his first CD A Little Bit Special.",0
`` Say My Name '' is hit song by American R&B group Destiny 's Child.,0
`` Thant '' was his only name.,0
"`` The advantage of a fictional hero or heroine is that you can know them better than you can know a living hero , many of whom you would never meet if people like Harry and identify with him , I am pleased , because I think he is very likeable . ''",0
`` The Best Damn Thing '' is the fourth and final single from Canadian singer-songwriter Avril Lavigne 's third studio album The Best Damn Thing.,0
`` The Knight in the Panther 's Skin '' has been translated into many languages.,0
"`` The real master of Death accepts that he must die , and that there are much worse things in the world of the living ''.",0
`` There 's No Disgrace Like Home '' is the fourth episode of The Simpsons first season.,0
`` Tomorrow Never Knows '' is the final track of The Beatles ' 1966 studio album Revolver but the first to be recorded.,0
"`` Tomorrow Never Knows '' is the sixth single released by Mr. Children on November 10 , 1994.",0
`` Trouble Hearted Blues '' and `` Left Alone Blues '' are his best known songs.,0
`` Two Cars in Every Garage and Three Eyes on Every Fish '' is the fourth episode of The Simpsons second season.,0
"`` We don't see ourselves as a destructive force , but we are . ''",0
"`` We felt that this was the only way to give Lost a proper creative conclusion , '' McPherson said.",0
"`` What Jeff was able to do as an outsider who wasn't so attached to the story was to really let his imagination go free and make up this world in a wonderful way '' , David said.",0
"`` Won't Go Home Without You '' is the third single released from Maroon 5 's second album , It Won't Be Soon Before Long.",0
❒Taken ❒Single ✔Addicted to Twitter,1
$AAPL holds in after-hours trading after it reports lowest iPhone growth ever:  ,0
1. Denial 2. Anger 3. Bargaining 4. Depression 5. Acceptance ... The 5 stages of buying gasoline.,1
"1/3 Of people live next to a pedophile. Not me though, I live next to two really hot ten year old's!",1
"10 reasons I’m lazy:
1)",1
"10 things you will never know about me: 
1-",1
100 people worked 16 hours a day to construct the set for the event.,0
"111,111,111 x 111,111,111 = 12,345,678,987,654,321",1
12k has three sublabels.,0
"15,000 hunters are registered in the departments , 3,000 to 4,000 of whom hunt in the Dombes , one of the best hunting regions for water birds in France.",0
18 killed in car bomb against Syrian insurgents in southern province Quneitra: monitor,0
"1f u c4n r34d 7h15, u r34lly n33d 2 g37 4 l1f3.",1
"2 dyslexics are in a kitchen. One says to the other ""can you smell food?"" The other one says ""I can't even smell my own name!""",1
2 guys walked into a bar. The third one ducked.,1
"2 is the first Sophie Germain prime , the first factorial prime , the first Lucas prime , and the first Smarandache-Wellin prime.",0
2 Thai birds asked me to join them for a threesome. It was just like winning the Lottery. We had 6 matching balls.,1
"20 seconds left on the microwave! Women:  Set the table, pour the wine, tweet, check Facebook. Men: Start a NASA rocket launch countdown.",1
"20、Evening news is where they begin with ‘Good evening’, and then proceed to tell you why it isn’t.",1
"21、How is it one careless match can start a forest fire, but it takes a whole box to start a campfire?",1
2101 Adonis was one of the first near-Earth asteroids to be discovered.,0
"235 days , it leaves the pouch for the last time . The young Joey will permanently leave the pouch at around 235 days old , but will continue to suckle until it reaches 12 months of age.",0
"27、A bus station is where a bus stops. A train station is where a train stops. On my desk, I have a work station..",1
283 : War with Rome.,0
296-8 : War with Rome.,0
2B or not 2B. That is the pencil.,1
"3 men are on a boat. They have 4 cigars, but nothing to light them with. They throw a cigar overboard &amp; the boat becomes a cigar lighter.",1
"3 men are on a boat. They have 4 cigars, but nothing to light them with. They throw a cigar overboard and the boat becomes a cigar lighter.",1
30 Seconds to Mars has received one award from two nominations.,0
30 Seconds to Mars has received one awards from three nominations.,0
300-up Messi makes history as Barca open big lead,0
31 years ago today the doctor delivered me.I can't believe I've survived so long without a liver.,1
31、I saw a woman wearing a sweat shirt with “Guess” on it…so I said “Implants?”,1
"35、A bank is a place that will lend you money, if you can prove that you don’t need it.",1
3D printing body parts?,0
"41 pupils , two teachers , a mother and two railway staff were killed nonetheless.",0
43 Kurdish YPG fighters killed in Syria in battle with Islamic State,0
43、The main reason Santa is so jolly is because he knows where all the bad girls live.,1
46、 I discovered I scream the same way whether I’m about to be devoured by a great white shark or if a piece of seaweed touches my foot.,1
"48,000 during its initial run.",0
5 out of 6 scientists say Russian Roulette is safe.,1
5/4ths of people have problems with fractions.,1
50% of Japanese doctors have Cataracts. The other 50% drive Rincolns.,1
52 people killed in Mexican prison riot: state governor,0
529 people were put out of work with three days ' notice.,0
6:30 is the best time on a face clock..Hands down!,1
"62	
Hospitality: making your guests feel like they're at home, even if you wish they were.
19522523571",1
"651 : Last Sassanid ruler Yazdegerd III then fled eastward from one district to another , until at last he was killed by a local miller for his purse at Merv , ending the dynasty.",0
86-day Palestinian hunger strike challenges Israeli detention policy,0
9 in 10 people love chocolate. And the 10th person is a liar.,1
9 out of 10 doctors recommended for children to drink water instead of soda. That 1 doctor lives in flint michigan,1
9 years ago I asked the girl of my dreams out on a date. Today I asked her to marry me. She said no both times.,1
"9/11 Jokes are just plane wrong, and Nazi jokes aren't funny, Ann frankly I am quite offended by them.",1
9/11 jokes are just plane wrong.,1
A 'DiCaprio' ultimatum for energy bossses?  ,0
A & C Black is a British book publishing company.,0
A 2002 worldwide poll by Sight & Sound ranked Keaton 's The General as the 15th best film of all time.,0
A 40-year-old man called me swell. What the heck do I do now?,1
A baby seal walks into a club...,1
A Bad Corn Promise Is Better Than A Good Lawsuit,0
A Bad Workman Quarrels With His Tools,0
"A baker 's dozen , long dozen , long measure , or Roughrider 's dozen is 13 , one more than a standard dozen.",0
"A banana &amp; a vibrator are lying on a bed. The banana turns to the vibrator and says; ""I don't know why your shaking, they're gonna eat me!""",1
"A banana and a vibrator are lying on a bed. The banana turns to the vibrator and says; ""I don't know why your shaking, they're gonna eat me!""",1
"A bank is a place that will lend you money, if you can prove that you don’t need it.",1
A banker is a fellow who lends you his umbrella when the sun is shining and wants it back the minute it begins to rain.,1
A Bargain Is A Bargain,0
"A bargain is something you cannot use at a price you cannot resist.""",1
A bartender is just a pharmacist with a limited inventory.,1
A bear hug isn't truly a bear hug unless it's administered by a real bear.,1
A bed is a large piece of furniture used as a place to sleep.,0
A Beggar Can Never Be Bankrupt,0
A bikini is an outfit where 90% of a women's body is exposed and men are decent enough to stare at the 10% that is covered.,1
A bird in hand is safer than one overhead.,1
A Bird In The Hand Is Worth Two In The Bush,0
A Bird May Be Known By Its Song,0
A birdie told me I'm getting better at golf.,1
A black cat crossing your path signifies that the animal is going somewhere.,1
A Black Hen Lays A White Egg,0
A blind guy was on Wheel of Fortune. He asked if he can buy an I.,1
A Blind Leader Of The Blind,0
A Blind Man Would Be Glad To See,0
